Input,Output,Load,UNUSED
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0.16113,0.068359,0
1,0.56152,0.26855,0
1,0.91309,0.44434,0
1,1.1377,0.58105,0
1,1.2695,0.67871,0
1,1.3428,0.7373,0
1,1.3867,0.77637,0
1,1.4062,0.7959,0
1,1.416,0.80566,0
1,1.4209,0.81543,0
1,1.4258,0.81543,0
1,1.4258,0.82031,0
1,1.4258,0.82031,0
1,1.4258,0.82031,0
1,1.4258,0.8252,0
1,1.4307,0.8252,0
1,1.4258,0.8252,0
1,1.4258,0.82031,0
1,1.4258,0.82031,0
1,1.4258,0.82031,0
1,1.4209,0.82031,0
1,1.4209,0.82031,0
1,1.4209,0.82031,0
1,1.4258,0.82031,0
1,1.4209,0.82031,0
1,1.4209,0.8252,0
1,1.4209,0.82031,0
1,1.4209,0.82031,0
1,1.4209,0.82031,0
1,1.4209,0.82031,0
1,1.4209,0.82031,0
1,1.4209,0.82031,0
1,1.4209,0.82031,0
1,1.4209,0.82031,0
1,1.4209,0.82031,0
1,1.4209,0.82031,0
1,1.4209,0.82031,0
1,1.416,0.82031,0
1,1.416,0.82031,0
1,1.416,0.82031,0
1,1.416,0.82031,0
1,1.416,0.82031,0
1,1.4209,0.81543,0
1,1.416,0.82031,0
1,1.416,0.81543,0
1,1.4111,0.81543,0
1,1.4111,0.81543,0
1,1.4111,0.81543,0
2,1.4111,0.81543,0
2,1.4111,0.81543,0
2,1.6016,0.95215,0
2,2.0215,1.123,0
2,2.3682,1.3184,0
2,2.5879,1.4746,0
2,2.7148,1.5869,0
2,2.7881,1.6553,0
2,2.8223,1.7041,0
2,2.8418,1.7285,0
2,2.8516,1.748,0
2,2.8613,1.7578,0
2,2.8613,1.7627,0
2,2.8662,1.7627,0
2,2.8662,1.7676,0
2,2.8662,1.7676,0
2,2.8662,1.7676,0
2,2.8662,1.7676,0
2,2.8662,1.7725,0
2,2.8613,1.7725,0
2,2.8662,1.7676,0
2,2.8613,1.7725,0
2,2.8662,1.7725,0
2,2.8662,1.7725,0
2,2.8613,1.7725,0
2,2.8613,1.7725,0
2,2.8613,1.7725,0
2,2.8613,1.7725,0
2,2.8613,1.7725,0
2,2.8613,1.7725,0
2,2.8613,1.7725,0
2,2.8613,1.7725,0
2,2.8564,1.7725,0
2,2.8564,1.7725,0
2,2.8564,1.7725,0
2,2.8613,1.7725,0
2,2.8564,1.7725,0
2,2.8564,1.7725,0
2,2.8564,1.7725,0
2,2.8564,1.7676,0
2,2.8564,1.7725,0
2,2.8564,1.7725,0
2,2.8564,1.7676,0
2,2.8564,1.7676,0
2,2.8516,1.7676,0
2,2.8564,1.7676,0
2,2.8516,1.7676,0
2,2.8564,1.7676,0
2,2.8564,1.7676,0
2,2.8564,1.7676,0
3,2.8564,1.7676,0
3,2.8516,1.7676,0
3,3.0322,1.9092,0
3,3.4424,2.0605,0
3,3.7842,2.2461,0
3,4.0039,2.4072,0
3,4.1357,2.5195,0
3,4.2188,2.6025,0
3,4.2578,2.6562,0
3,4.2871,2.6904,0
3,4.2969,2.71,0
3,4.3066,2.7246,0
3,4.3066,2.7344,0
3,4.3066,2.7393,0
3,4.3115,2.7441,0
3,4.3066,2.7441,0
3,4.3066,2.7441,0
3,4.3066,2.7441,0
3,4.3115,2.749,0
3,4.3115,2.749,0
3,4.3066,2.749,0
3,4.3066,2.749,0
3,4.3066,2.749,0
3,4.3066,2.749,0
3,4.3066,2.749,0
3,4.3066,2.749,0
3,4.3066,2.7539,0
3,4.3066,2.749,0
3,4.3066,2.749,0
3,4.3066,2.749,0
3,4.3066,2.749,0
3,4.3066,2.749,0
3,4.3115,2.749,0
3,4.3066,2.749,0
3,4.3066,2.749,0
3,4.3066,2.749,0
3,4.3066,2.749,0
3,4.3066,2.7539,0
3,4.3066,2.7539,0
3,4.3066,2.7539,0
3,4.3115,2.7539,0
3,4.3066,2.7539,0
3,4.3066,2.7539,0
3,4.3066,2.7539,0
3,4.3066,2.7539,0
3,4.3066,2.7539,0
3,4.3066,2.7539,0
3,4.3066,2.7539,0
3,4.3066,2.7539,0
3,4.3066,2.7588,0
4,4.3066,2.7539,0
4,4.3066,2.7539,0
4,4.4824,2.9053,0
4,4.8828,3.042,0
4,5.2148,3.2178,0
4,5.4395,3.374,0
4,5.5811,3.4912,0
4,5.6641,3.5791,0
4,5.7129,3.6377,0
4,5.7422,3.6768,0
4,5.7568,3.7012,0
4,5.7666,3.7207,0
4,5.7715,3.7305,0
4,5.7715,3.7402,0
4,5.7715,3.7451,0
4,5.7715,3.75,0
4,5.7715,3.75,0
4,5.7715,3.7549,0
4,5.7715,3.7549,0
4,5.7715,3.7549,0
4,5.7715,3.7549,0
4,5.7715,3.7549,0
4,5.7715,3.7549,0
4,5.7764,3.7549,0
4,5.7764,3.7549,0
4,5.7764,3.7598,0
4,5.7764,3.7549,0
4,5.7715,3.7598,0
4,5.7764,3.7598,0
4,5.7715,3.7598,0
4,5.7715,3.7793,0
4,5.7715,3.7744,0
4,5.7715,3.7793,0
4,5.7715,3.7793,0
4,5.7715,3.7793,0
4,5.7715,3.7744,0
4,5.7715,3.7793,0
4,5.7715,3.7744,0
4,5.7715,3.7793,0
4,5.7715,3.7744,0
4,5.7715,3.7598,0
4,5.7715,3.7598,0
4,5.7715,3.7646,0
4,5.7715,3.7598,0
4,5.7715,3.7646,0
4,5.7715,3.7598,0
4,5.7715,3.7646,0
4,5.7715,3.7646,0
4,5.7715,3.7646,0
4,5.7715,3.7646,0
5,5.7715,3.7598,0
5,5.7715,3.7598,0
5,5.9375,3.9111,0
5,6.3184,4.0381,0
5,6.6504,4.209,0
5,6.8701,4.3555,0
5,7.0117,4.4775,0
5,7.1045,4.5703,0
5,7.1631,4.6289,0
5,7.1924,4.6777,0
5,7.2168,4.7119,0
5,7.2266,4.7314,0
5,7.2363,4.7461,0
5,7.2363,4.7559,0
5,7.2412,4.7656,0
5,7.2412,4.7656,0
5,7.2412,4.7705,0
5,7.2412,4.7754,0
5,7.2412,4.7754,0
5,7.2412,4.7754,0
5,7.2412,4.7803,0
5,7.2412,4.7803,0
5,7.2363,4.7803,0
5,7.2363,4.7803,0
5,7.2363,4.7803,0
5,7.2363,4.7803,0
5,7.2363,4.7803,0
5,7.2314,4.7803,0
5,7.2363,4.7803,0
5,7.2363,4.7803,0
5,7.2363,4.7803,0
5,7.2363,4.7803,0
5,7.2363,4.7803,0
5,7.2363,4.7803,0
5,7.2363,4.7803,0
5,7.2363,4.7852,0
5,7.2363,4.7803,0
5,7.2363,4.7803,0
5,7.2363,4.7803,0
5,7.2363,4.7852,0
5,7.2363,4.7803,0
5,7.2314,4.7852,0
5,7.2363,4.7852,0
5,7.2363,4.7852,0
5,7.2363,4.7852,0
5,7.2314,4.7852,0
5,7.2363,4.7852,0
5,7.2363,4.7852,0
5,7.2363,4.7852,0
5,7.2363,4.7852,0
6,7.2363,4.7852,0
6,7.2363,4.79,0
6,7.3877,4.9365,0
6,7.7734,5.0586,0
6,8.0908,5.2246,0
6,8.3154,5.3711,0
6,8.4668,5.4883,0
6,8.5645,5.5859,0
6,8.6279,5.6543,0
6,8.6621,5.7031,0
6,8.6865,5.7373,0
6,8.6963,5.7617,0
6,8.7061,5.7764,0
6,8.7061,5.7861,0
6,8.7061,5.7959,0
6,8.7109,5.8008,0
6,8.7109,5.8057,0
6,8.7061,5.8057,0
6,8.7061,5.8105,0
6,8.7061,5.8105,0
6,8.7061,5.8105,0
6,8.7109,5.8154,0
6,8.7109,5.8154,0
6,8.7109,5.8154,0
6,8.7109,5.8203,0
6,8.7109,5.8154,0
6,8.7109,5.8203,0
6,8.7061,5.8203,0
6,8.7109,5.8203,0
6,8.7061,5.8203,0
6,8.7061,5.8203,0
6,8.7061,5.8203,0
6,8.7061,5.8203,0
6,8.7061,5.8203,0
6,8.7061,5.8203,0
6,8.7061,5.8203,0
6,8.7061,5.8203,0
6,8.7012,5.8203,0
6,8.7061,5.8252,0
6,8.7061,5.8252,0
6,8.7061,5.8252,0
6,8.7061,5.8252,0
6,8.7061,5.8252,0
6,8.7061,5.8252,0
6,8.7061,5.8252,0
6,8.7061,5.8203,0
6,8.7061,5.8252,0
6,8.7061,5.8252,0
6,8.7061,5.8252,0
6,8.7061,5.8252,0
7,8.7061,5.8252,0
7,8.7061,5.8252,0
7,8.8525,5.9766,0
7,9.209,6.084,0
7,9.541,6.2402,0
7,9.7803,6.3916,0
7,9.9365,6.5186,0
7,9.9951,6.6162,0
7,9.9951,6.6895,0
7,9.9951,6.7383,0
7,9.9951,6.7725,0
7,9.9951,6.8018,0
7,9.9951,6.8164,0
7,9.9951,6.8262,0
7,9.9951,6.8359,0
7,9.9951,6.8408,0
7,9.9951,6.8457,0
7,9.9951,6.8506,0
7,9.9951,6.8506,0
7,9.9951,6.8555,0
7,9.9951,6.8555,0
7,9.9951,6.8555,0
7,9.9951,6.8555,0
7,9.9951,6.8604,0
7,9.9951,6.8604,0
7,9.9951,6.8604,0
7,9.9951,6.8604,0
7,9.9951,6.8604,0
7,9.9951,6.8604,0
7,9.9951,6.8604,0
7,9.9951,6.8604,0
7,9.9951,6.8604,0
7,9.9951,6.8604,0
7,9.9951,6.8652,0
7,9.9951,6.8652,0
7,9.9951,6.8604,0
7,9.9951,6.8652,0
7,9.9951,6.8652,0
7,9.9951,6.8652,0
7,9.9951,6.8652,0
7,9.9951,6.8652,0
7,9.9951,6.8701,0
7,9.9951,6.8652,0
7,9.9951,6.8652,0
7,9.9951,6.8652,0
7,9.9951,6.8652,0
7,9.9951,6.8652,0
7,9.9951,6.8652,0
7,9.9951,6.8701,0
7,9.9951,6.8652,0
8,9.9951,6.8652,0
8,9.9951,6.8701,0
8,9.9951,6.9922,0
8,9.9951,7.0117,0
8,9.9951,7.0508,0
8,9.9951,7.0898,0
8,9.9951,7.124,0
8,9.9951,7.1436,0
8,9.9951,7.1484,0
8,9.9951,7.1582,0
8,9.9951,7.1582,0
8,9.9951,7.1631,0
8,9.9951,7.1631,0
8,9.9951,7.1631,0
8,9.9951,7.168,0
8,9.9951,7.168,0
8,9.9951,7.168,0
8,9.9951,7.1631,0
8,9.9951,7.168,0
8,9.9951,7.168,0
8,9.9951,7.168,0
8,9.9951,7.168,0
8,9.9951,7.168,0
8,9.9951,7.168,0
8,9.9951,7.168,0
8,9.9951,7.1631,0
8,9.9951,7.168,0
8,9.9951,7.1631,0
8,9.9951,7.168,0
8,9.9951,7.168,0
8,9.9951,7.168,0
8,9.9951,7.168,0
8,9.9951,7.168,0
8,9.9951,7.168,0
8,9.9951,7.168,0
8,9.9951,7.168,0
8,9.9951,7.1631,0
8,9.9951,7.1631,0
8,9.9951,7.1631,0
8,9.9951,7.1631,0
8,9.9951,7.1631,0
8,9.9951,7.1631,0
8,9.9951,7.1631,0
8,9.9951,7.168,0
8,9.9951,7.1631,0
8,9.9951,7.1631,0
8,9.9951,7.1631,0
8,9.9951,7.1631,0
8,9.9951,7.1631,0
8,9.9951,7.1631,0
9,9.9951,7.1631,0
9,9.9951,7.1631,0
9,9.9951,7.2705,0
9,9.9951,7.2412,0
9,9.9951,7.2217,0
9,9.9951,7.2119,0
9,9.9951,7.207,0
9,9.9951,7.1973,0
9,9.9951,7.1973,0
9,9.9951,7.1924,0
9,9.9951,7.1924,0
9,9.9951,7.1875,0
9,9.9951,7.1875,0
9,9.9951,7.1875,0
9,9.9951,7.1875,0
9,9.9951,7.1875,0
9,9.9951,7.1826,0
9,9.9951,7.1826,0
9,9.9951,7.1826,0
9,9.9951,7.1826,0
9,9.9951,7.1826,0
9,9.9951,7.1826,0
9,9.9951,7.1826,0
9,9.9951,7.1826,0
9,9.9951,7.1826,0
9,9.9951,7.1826,0
9,9.9951,7.1826,0
9,9.9951,7.1826,0
9,9.9951,7.1777,0
9,9.9951,7.1777,0
9,9.9951,7.1777,0
9,9.9951,7.1777,0
9,9.9951,7.1777,0
9,9.9951,7.1777,0
9,9.9951,7.1777,0
9,9.9951,7.1777,0
9,9.9951,7.1777,0
9,9.9951,7.1777,0
9,9.9951,7.1777,0
9,9.9951,7.1777,0
9,9.9951,7.1777,0
9,9.9951,7.1777,0
9,9.9951,7.1777,0
9,9.9951,7.1777,0
9,9.9951,7.1777,0
9,9.9951,7.1777,0
9,9.9951,7.1777,0
9,9.9951,7.1777,0
9,9.9951,7.1777,0
9,9.9951,7.1777,0
10,9.9951,7.1924,0
10,9.9951,7.1924,0
10,9.9951,7.2949,0
10,9.9951,7.2656,0
10,9.9951,7.2461,0
10,9.9951,7.2363,0
10,9.9951,7.2119,0
10,9.9951,7.2119,0
10,9.9951,7.207,0
10,9.9951,7.2021,0
10,9.9951,7.2021,0
10,9.9951,7.1973,0
10,9.9951,7.1973,0
10,9.9951,7.1973,0
10,9.9951,7.1924,0
10,9.9951,7.1973,0
10,9.9951,7.1924,0
10,9.9951,7.1924,0
10,9.9951,7.1924,0
10,9.9951,7.1924,0
10,9.9951,7.1924,0
10,9.9951,7.1924,0
10,9.9951,7.1924,0
10,9.9951,7.1875,0
10,9.9951,7.1875,0
10,9.9951,7.1875,0
10,9.9951,7.1875,0
10,9.9951,7.1875,0
10,9.9951,7.1875,0
10,9.9951,7.1875,0
10,9.9951,7.1875,0
10,9.9951,7.1875,0
10,9.9951,7.1875,0
10,9.9951,7.1875,0
10,9.9951,7.1875,0
10,9.9951,7.1875,0
10,9.9951,7.1875,0
10,9.9951,7.1826,0
10,9.9951,7.1826,0
10,9.9951,7.1875,0
10,9.9951,7.1875,0
10,9.9951,7.1875,0
10,9.9951,7.1826,0
10,9.9951,7.1875,0
10,9.9951,7.1826,0
10,9.9951,7.1826,0
10,9.9951,7.1826,0
10,9.9951,7.1826,0
10,9.9951,7.1826,0
10,9.9951,7.1826,0
0,9.9951,7.1826,0
0,9.9951,7.1826,0
0,9.9951,6.123,0
0,9.9951,6.4014,0
0,9.9951,6.5332,0
0,9.9951,6.5869,0
0,9.9951,6.5918,0
0,9.9951,6.5625,0
0,9.8877,6.5186,0
0,9.7559,6.46,0
0,9.624,6.3916,0
0,9.4971,6.3184,0
0,9.3701,6.2451,0
0,9.248,6.1719,0
0,9.1211,6.0938,0
0,8.999,6.0205,0
0,8.8818,5.9424,0
0,8.7598,5.8643,0
0,8.6426,5.7861,0
0,8.5254,5.7129,0
0,8.4131,5.6348,0
0,8.3057,5.5615,0
0,8.1934,5.4883,0
0,8.0811,5.415,0
0,7.9736,5.3418,0
0,7.8711,5.2686,0
0,7.7637,5.1953,0
0,7.6611,5.127,0
0,7.5586,5.0537,0
0,7.4561,4.9854,0
0,7.3584,4.917,0
0,7.2559,4.8486,0
0,7.1582,4.7852,0
0,7.0605,4.7168,0
0,6.9629,4.6533,0
0,6.8701,4.585,0
0,6.7725,4.5215,0
0,6.6846,4.4629,0
0,6.5918,4.3945,0
0,6.499,4.3359,0
0,6.4062,4.2725,0
0,6.3184,4.209,0
0,6.2305,4.1455,0
0,6.1426,4.0869,0
0,6.0547,4.0283,0
0,5.9668,3.9648,0
0,5.874,3.9062,0
0,5.791,3.8477,0
0,5.7031,3.7842,0
0,5.6201,3.7256,0
0,5.5322,3.667,0
0,5.4443,3.6084,0
0,5.3613,3.5498,0
0,5.2783,3.4912,0
0,5.1953,3.4326,0
0,5.1123,3.3789,0
0,5.0293,3.3203,0
0,4.9512,3.2617,0
0,4.8682,3.208,0
0,4.79,3.1543,0
0,4.7119,3.1152,0
0,4.6338,3.0615,0
0,4.5557,3.0029,0
0,4.4775,2.9492,0
0,4.3994,2.9004,0
0,4.3213,2.832,0
0,4.248,2.7783,0
0,4.1699,2.7295,0
0,4.0967,2.6758,0
0,4.0234,2.627,0
0,3.9502,2.5732,0
0,3.877,2.5244,0
0,3.8037,2.4756,0
0,3.7305,2.4268,0
0,3.6621,2.3779,0
0,3.5938,2.3291,0
0,3.5205,2.2803,0
0,3.4473,2.2314,0
0,3.3789,2.1875,0
0,3.3105,2.1387,0
0,3.2471,2.0898,0
0,3.1787,2.0459,0
0,3.1104,2.002,0
0,3.042,1.9531,0
0,2.9785,1.9092,0
0,2.9102,1.8652,0
0,2.8467,1.8213,0
0,2.7832,1.7725,0
0,2.7148,1.7334,0
0,2.6562,1.6895,0
0,2.5928,1.6504,0
0,2.5293,1.6016,0
0,2.4658,1.5625,0
0,2.4023,1.5186,0
0,2.3438,1.4746,0
0,2.2803,1.4355,0
0,2.2217,1.3916,0
0,2.1631,1.3525,0
0,2.1045,1.3135,0
0,2.0459,1.2744,0
0,1.9873,1.2354,0
0,1.9287,1.1963,0
0,1.875,1.1572,0
0,1.8164,1.123,0
0,1.7627,1.084,0
0,1.7041,1.0449,0
0,1.6455,1.0059,0
0,1.5918,0.9668,0
0,1.5332,0.93262,0
0,1.4795,0.89355,0
0,1.4209,0.85449,0
0,1.3623,0.82031,0
0,1.3086,0.78125,0
0,1.25,0.74219,0
0,1.1914,0.70312,0
0,1.1328,0.66406,0
0,1.0742,0.625,0
0,1.0107,0.59082,0
0,0.94727,0.54688,0
0,0.88379,0.50781,0
0,0.82031,0.46387,0
0,0.75195,0.41992,0
0,0.67871,0.37598,0
0,0.61035,0.32715,0
0,0.53711,0.2832,0
0,0.4541,0.22461,0
0,0.37598,0.17578,0
0,0.27344,0.12207,0
0,0.17578,0.068359,0
0,0.087891,0.019531,0
0,0.039062,0,0
0,0.014648,0,0
0,0.0048828,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
